J707  = 0.01088655
J708  = 0.01087814
J709  = 0.01086976
J710  = 0.0108614
J711  = 0.01085306
J712  = 0.01084476
J713  = 0.01083647
J714  = 0.01082821
J715  = 0.01081998
J716  = 0.01081178
J717  = 0.01080359
J718  = 0.01079544
J719  = 0.0107873
J720  = 0.0107792
J721  = 0.01077112
J722  = 0.01076306
J723  = 0.01075503
J724  = 0.01074702
J725  = 0.01073904
J726  = 0.01073108
J727  = 0.01072315
J728  = 0.01071524
J729  = 0.01070735
J730  = 0.01069949
J731  = 0.01069166
J732  = 0.01068385
J733  = 0.01067606
J734  = 0.0106683
J735  = 0.01066056
J736  = 0.01065285
J737  = 0.01064515
J738  = 0.01063749
J739  = 0.01062985
J740  = 0.01062223
J741  = 0.01061463
J742  = 0.01060706
J743  = 0.01059951
J744  = 0.01059199
J745  = 0.01058449
J746  = 0.01057701
J747  = 0.01056956
J748  = 0.01056212
J749  = 0.01055472
J750  = 0.01054733
J751  = 0.01053997
J752  = 0.01053263
J753  = 0.01052532
J754  = 0.01051803
J755  = 0.01051076
J756  = 0.01050351
J757  = 0.01049629
J758  = 0.01048909
J759  = 0.01048191
J760  = 0.01047476
J761  = 0.01046762
J762  = 0.01046051
J763  = 0.01045342
J764  = 0.01044636
J765  = 0.01043932
J766  = 0.0104323
J767  = 0.0104253
J768  = 0.01041832
J769  = 0.01041137
J770  = 0.01040443
J771  = 0.01039752
J772  = 0.01039064
J773  = 0.01038377
J774  = 0.01037693
J775  = 0.0103701
J776  = 0.0103633
J777  = 0.01035652
J778  = 0.01034976
J779  = 0.01034303
J780  = 0.01033631
J781  = 0.01032962
J782  = 0.01032295
J783  = 0.0103163
J784  = 0.01030967
J785  = 0.01030306
J786  = 0.01029647
J787  = 0.01028991
J788  = 0.01028336
J789  = 0.01027684
J790  = 0.01027034
J791  = 0.01026385
J792  = 0.01025739
J793  = 0.01025095
J794  = 0.01024453
J795  = 0.01023813
J796  = 0.01023175
J797  = 0.0102254
J798  = 0.01021906
J799  = 0.01021274
J800  = 0.01020644
J801  = 0.01020017
J802  = 0.01019391
J803  = 0.01018768
J804  = 0.01018146
J805  = 0.01017526
J806  = 0.01016909
J807  = 0.01016293
J808  = 0.0101568
J809  = 0.01015068
J810  = 0.01014459
J811  = 0.01013851
J812  = 0.01013245
J813  = 0.01012642
J814  = 0.0101204
J815  = 0.0101144
J816  = 0.01010842
J817  = 0.01010246
J818  = 0.01009653
J819  = 0.01009061
J820  = 0.01008471
J821  = 0.01007882
J822  = 0.01007296
J823  = 0.01006712
J824  = 0.0100613
J825  = 0.01005549
J826  = 0.0100497
J827  = 0.01004394
J828  = 0.01003819
J829  = 0.01003246
J830  = 0.01002675
J831  = 0.01002106
J832  = 0.01001539
J833  = 0.01000973
J834  = 0.0100041
J835  = 0.009998479
J836  = 0.009992881
J837  = 0.0099873
J838  = 0.009981738
J839  = 0.009976195
J840  = 0.00997067
J841  = 0.009965162
J842  = 0.009959674
J843  = 0.009954203
J844  = 0.00994875
J845  = 0.009943315
J846  = 0.009937899
J847  = 0.0099325
J848  = 0.009927119
J849  = 0.009921756
J850  = 0.00991641
J851  = 0.009911083
J852  = 0.009905773
J853  = 0.009900481
J854  = 0.009895206
J855  = 0.009889949
J856  = 0.009884709
J857  = 0.009879486
J858  = 0.009874281
J859  = 0.009869094
J860  = 0.009863923
J861  = 0.00985877
J862  = 0.009853634
J863  = 0.009848515
J864  = 0.009843414
J865  = 0.009838329
J866  = 0.009833261
J867  = 0.00982821
J868  = 0.009823177
J869  = 0.009818159
J870  = 0.009813159
J871  = 0.009808176
J872  = 0.009803209
J873  = 0.009798259
J874  = 0.009793325
J875  = 0.009788408
J876  = 0.009783507
J877  = 0.009778623
J878  = 0.009773756
J879  = 0.009768904
J880  = 0.009764069
J881  = 0.009759251
J882  = 0.009754448
J883  = 0.009749662
J884  = 0.009744892
J885  = 0.009740138
J886  = 0.009735399
J887  = 0.009730677
J888  = 0.009725971
J889  = 0.009721281
J890  = 0.009716607
J891  = 0.009711948
J892  = 0.009707305
J893  = 0.009702678
J894  = 0.009698067
J895  = 0.009693471
J896  = 0.009688891
J897  = 0.009684326
J898  = 0.009679777
J899  = 0.009675243
J900  = 0.009670725
J901  = 0.009666222
J902  = 0.009661734
J903  = 0.009657261
J904  = 0.009652804
J905  = 0.009648362
J906  = 0.009643935
J907  = 0.009639523
J908  = 0.009635126
J909  = 0.009630745
J910  = 0.009626378
J911  = 0.009622026
J912  = 0.009617689
J913  = 0.009613366
J914  = 0.009609059
J915  = 0.009604766
J916  = 0.009600488
J917  = 0.009596224
J918  = 0.009591975
J919  = 0.009587741
J920  = 0.009583521
J921  = 0.009579316
J922  = 0.009575125
J923  = 0.009570949
J924  = 0.009566786
J925  = 0.009562639
J926  = 0.009558505
J927  = 0.009554385
J928  = 0.00955028
J929  = 0.009546189
J930  = 0.009542112
J931  = 0.009538049
J932  = 0.009534 
J933  = 0.009529965
J934  = 0.009525944
J935  = 0.009521937
J936  = 0.009517943
J937  = 0.009513964
J938  = 0.009509998
J939  = 0.009506046
J940  = 0.009502107
J941  = 0.009498182
J942  = 0.009494271
J943  = 0.009490373
J944  = 0.009486489
J945  = 0.009482618
J946  = 0.009478761
J947  = 0.009474917
J948  = 0.009471086
J949  = 0.009467269
J950  = 0.009463465
J951  = 0.009459674
J952  = 0.009455896
J953  = 0.009452132
J954  = 0.00944838
J955  = 0.009444642
J956  = 0.009440916
J957  = 0.009437204
J958  = 0.009433505
J959  = 0.009429818
J960  = 0.009426144
J961  = 0.009422483
J962  = 0.009418835
J963  = 0.0094152
J964  = 0.009411577
J965  = 0.009407967
J966  = 0.00940437
J967  = 0.009400785
J968  = 0.009397213
J969  = 0.009393653
J970  = 0.009390106
J971  = 0.009386571
J972  = 0.009383048
J973  = 0.009379538
J974  = 0.009376041
J975  = 0.009372555
J976  = 0.009369082
J977  = 0.009365621
J978  = 0.009362172
J979  = 0.009358735
J980  = 0.00935531
J981  = 0.009351898
J982  = 0.009348497
J983  = 0.009345108
J984  = 0.009341731
J985  = 0.009338367
J986  = 0.009335014
J987  = 0.009331673
J988  = 0.009328343
J989  = 0.009325026
J990  = 0.00932172
J991  = 0.009318425
J992  = 0.009315143
J993  = 0.009311872
J994  = 0.009308612
J995  = 0.009305365
J996  = 0.009302128
J997  = 0.009298903
J998  = 0.00929569
J999  = 0.009292488
J1000 = 0.009289297
J1001 = 0.009286117
J1002 = 0.009282949
J1003 = 0.009279792
J1004 = 0.009276647
J1005 = 0.009273512
J1006 = 0.009270389
J1007 = 0.009267276
J1008 = 0.009264175
J1009 = 0.009261085
J1010 = 0.009258006
J1011 = 0.009254938
J1012 = 0.00925188
J1013 = 0.009248834
J1014 = 0.009245798
J1015 = 0.009242773
J1016 = 0.00923976
J1017 = 0.009236756
J1018 = 0.009233764
J1019 = 0.009230782
J1020 = 0.009227811
J1021 = 0.00922485
J1022 = 0.0092219
J1023 = 0.009218961
J1024 = 0.009216032
J1025 = 0.009213114
J1026 = 0.009210206
J1027 = 0.009207308
J1028 = 0.009204421
J1029 = 0.009201544
J1030 = 0.009198678
J1031 = 0.009195822
J1032 = 0.009192976
J1033 = 0.00919014
J1034 = 0.009187314
J1035 = 0.009184499
J1036 = 0.009181694
J1037 = 0.009178899
J1038 = 0.009176113
J1039 = 0.009173338
J1040 = 0.009170573
J1041 = 0.009167818
J1042 = 0.009165073
J1043 = 0.009162337
J1044 = 0.009159612
J1045 = 0.009156896
J1046 = 0.00915419
J1047 = 0.009151494
J1048 = 0.009148808
J1049 = 0.009146131
J1050 = 0.009143464
J1051 = 0.009140806
J1052 = 0.009138159
J1053 = 0.00913552
J1054 = 0.009132892
J1055 = 0.009130273
J1056 = 0.009127663
J1057 = 0.009125063
J1058 = 0.009122472
J1059 = 0.00911989
J1060 = 0.009117318
J1061 = 0.009114756
J1062 = 0.009112202
J1063 = 0.009109658
J1064 = 0.009107123
J1065 = 0.009104597
J1066 = 0.009102081
J1067 = 0.009099573
J1068 = 0.009097075
J1069 = 0.009094586
J1070 = 0.009092105
J1071 = 0.009089634
J1072 = 0.009087172
J1073 = 0.009084719
J1074 = 0.009082275
J1075 = 0.009079839
J1076 = 0.009077413
J1077 = 0.009074995
J1078 = 0.009072586
J1079 = 0.009070186
J1080 = 0.009067795
J1081 = 0.009065412
J1082 = 0.009063038
J1083 = 0.009060673
J1084 = 0.009058317
J1085 = 0.009055969
J1086 = 0.009053629
J1087 = 0.009051299
J1088 = 0.009048976
J1089 = 0.009046663
J1090 = 0.009044357
J1091 = 0.009042061
J1092 = 0.009039772
J1093 = 0.009037492
J1094 = 0.00903522
J1095 = 0.009032957
J1096 = 0.009030702
J1097 = 0.009028455
J1098 = 0.009026217
J1099 = 0.009023986
J1100 = 0.009021764
J1101 = 0.00901955
J1102 = 0.009017345
J1103 = 0.009015147
J1104 = 0.009012957
J1105 = 0.009010776
J1106 = 0.009008602
J1107 = 0.009006437
J1108 = 0.009004279
J1109 = 0.00900213
J1110 = 0.008999988
J1111 = 0.008997854
J1112 = 0.008995728
J1113 = 0.00899361
J1114 = 0.0089915
J1115 = 0.008989398
J1116 = 0.008987303
J1117 = 0.008985216
J1118 = 0.008983137
J1119 = 0.008981065
J1120 = 0.008979001
J1121 = 0.008976945
J1122 = 0.008974896
J1123 = 0.008972855
J1124 = 0.008970822
J1125 = 0.008968796
J1126 = 0.008966777
J1127 = 0.008964766
J1128 = 0.008962763
J1129 = 0.008960767
J1130 = 0.008958778
J1131 = 0.008956797
J1132 = 0.008954823
J1133 = 0.008952856
J1134 = 0.008950897
J1135 = 0.008948945
J1136 = 0.008947 
J1137 = 0.008945062
J1138 = 0.008943132
J1139 = 0.008941209
J1140 = 0.008939293
J1141 = 0.008937384
J1142 = 0.008935482
J1143 = 0.008933587
J1144 = 0.0089317
J1145 = 0.008929819
J1146 = 0.008927945
J1147 = 0.008926079
J1148 = 0.008924219
J1149 = 0.008922366
J1150 = 0.008920521
J1151 = 0.008918682
J1152 = 0.00891685
J1153 = 0.008915024
J1154 = 0.008913206
J1155 = 0.008911394
J1156 = 0.00890959
J1157 = 0.008907791
J1158 = 0.008906 
J1159 = 0.008904215
J1160 = 0.008902438
J1161 = 0.008900666
J1162 = 0.008898902
J1163 = 0.008897143
J1164 = 0.008895392
J1165 = 0.008893647
J1166 = 0.008891909
J1167 = 0.008890177
J1168 = 0.008888451
J1169 = 0.008886733
J1170 = 0.00888502
J1171 = 0.008883314
J1172 = 0.008881615
J1173 = 0.008879921
J1174 = 0.008878235
J1175 = 0.008876554
J1176 = 0.00887488
