J464   = 0.0005431029200553895
J465   = 0.0005430424958467484
J466   = 0.0005429773405194282
J467   = 0.0005429260805249215
J468   = 0.0005428656190633774
J469   = 0.0005428024753928184
J470   = 0.0005427474901080132
J471   = 0.00054268728941679
J472   = 0.0005426276475191116
J473   = 0.0005425667762756348
J474   = 0.0005425139889121055
J475   = 0.0005424483492970466
J476   = 0.0005423894152045251
J477   = 0.0005423304438591003
J478   = 0.0005422728508710862
J479   = 0.0005422169715166092
J480   = 0.0005421577394008637
J481   = 0.0005420974642038345
J482   = 0.0005420350283384324
J483   = 0.0005419769510626794
J484   = 0.0005419197678565979
J485   = 0.0005418574064970016
J486   = 0.0005418051034212113
J487   = 0.0005417469516396522
J488   = 0.0005416810885071755
J489   = 0.0005416239425539971
J490   = 0.0005415635928511619
J491   = 0.0005415076017379761
J492   = 0.0005414475500583649
J493   = 0.0005413912236690521
J494   = 0.0005413294211030007
J495   = 0.0005412676185369492
J496   = 0.0005412149801850319
J497   = 0.0005411546677350998
J498   = 0.0005410952493548393
J499   = 0.0005410400405526162
J500   = 0.0005409792810678482
J501   = 0.0005409127101302147
J502   = 0.0005408590659499168
J503   = 0.0005408018082380295
J504   = 0.0005407464131712914
J505   = 0.0005406838282942772
J506   = 0.0005406235903501511
J507   = 0.000540565587580204
J508   = 0.0005405092611908913
J509   = 0.0005404473841190338
J510   = 0.0005403922125697136
J511   = 0.0005403295159339905
J512   = 0.0005402745306491852
J513   = 0.0005402187630534172
J514   = 0.0005401555448770523
J515   = 0.0005400997772812843
J516   = 0.0005400386080145836
J517   = 0.0005399811640381813
J518   = 0.0005399176850914956
J519   = 0.0005398641526699066
J520   = 0.0005398087576031685
J521   = 0.0005397465452551842
J522   = 0.0005396886542439461
J523   = 0.0005396271124482155
J524   = 0.0005395669117569924
J525   = 0.0005395127832889557
J526   = 0.0005394498631358147
J527   = 0.0005393946543335914
J528   = 0.0005393363907933236
J529   = 0.0005392786487936974
J530   = 0.0005392172932624817
J531   = 0.0005391555279493332
J532   = 0.0005391056090593338
J533   = 0.0005390407890081406
J534   = 0.000538986548781395
J535   = 0.0005389268323779106
J536   = 0.0005388724058866501
J537   = 0.0005388138815760612
J538   = 0.0005387505888938904
J539   = 0.000538693256676197
J540   = 0.0005386338382959366
J541   = 0.0005385791882872581
J542   = 0.0005385199561715126
J543   = 0.0005384605750441551
J544   = 0.0005384022369980812
J545   = 0.000538344457745552
J546   = 0.0005382854491472244
J547   = 0.000538228303194046
J548   = 0.0005381685495376587
J549   = 0.0005381128191947937
J550   = 0.0005380497127771377
J551   = 0.0005379918590188026
J552   = 0.0005379372835159302
J553   = 0.0005378754809498787
J554   = 0.0005378192663192749
J555   = 0.0005377626419067383
J556   = 0.0005377025157213212
J557   = 0.0005376406759023667
