J1177 = 0.8212947
J1178 = 0.8197545
J1179 = 0.8182173
J1180 = 0.8166829
J1181 = 0.8151514
J1182 = 0.8136228
J1183 = 0.812097 
J1184 = 0.8105741
J1185 = 0.8090541
J1186 = 0.8075369
J1187 = 0.8060225
J1188 = 0.804511 
J1189 = 0.8030023
J1190 = 0.8014965
J1191 = 0.7999935
J1192 = 0.7984933
J1193 = 0.7969959
J1194 = 0.7955013
J1195 = 0.7940095
J1196 = 0.7925205
J1197 = 0.7910343
J1198 = 0.7895509
J1199 = 0.7880703
J1200 = 0.7865924
J1201 = 0.7851173
J1202 = 0.783645 
J1203 = 0.7821755
J1204 = 0.7807087
J1205 = 0.7792446
J1206 = 0.7777833
J1207 = 0.7763248
J1208 = 0.7748689
J1209 = 0.7734159
J1210 = 0.7719655
J1211 = 0.7705178
J1212 = 0.7690729
J1213 = 0.7676307
J1214 = 0.7661911
J1215 = 0.7647543
J1216 = 0.7633202
J1217 = 0.7618887
J1218 = 0.76046  
J1219 = 0.7590339
J1220 = 0.7576105
J1221 = 0.7561898
J1222 = 0.7547717
J1223 = 0.7533563
J1224 = 0.7519435
J1225 = 0.7505334
J1226 = 0.7491259
J1227 = 0.7477211
J1228 = 0.7463189
J1229 = 0.7449193
J1230 = 0.7435224
J1231 = 0.7421281
J1232 = 0.7407364
J1233 = 0.7393473
J1234 = 0.7379608
J1235 = 0.7365769
J1236 = 0.7351956
J1237 = 0.7338169
J1238 = 0.7324408
J1239 = 0.7310672
J1240 = 0.7296963
J1241 = 0.7283279
J1242 = 0.726962 
J1243 = 0.7255988
J1244 = 0.724238 
J1245 = 0.7228799
J1246 = 0.7215243
J1247 = 0.7201712
J1248 = 0.7188207
J1249 = 0.7174726
